epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,68.2986,0.73429,0.6106,1.16668,0.934,0.99284,0.9896,0.81174,0.72294,0.42208,1.21103,0.000359409,0.000359409,0.000359409
43,69.9317,0.74777,0.58668,1.17074,0.91091,0.95267,0.97955,0.78714,0.72997,0.47558,1.20811,0.000341077,0.000341077,0.000341077
44,71.4454,0.71165,0.57787,1.16189,0.95311,0.99028,0.98907,0.778,0.78392,0.49414,1.25331,0.000322745,0.000322745,0.000322745
45,73.0094,0.72793,0.61208,1.15861,0.91992,0.96631,0.98301,0.77415,0.80531,0.48713,1.28062,0.000304414,0.000304414,0.000304414
46,74.6129,0.70105,0.55793,1.13811,0.93252,0.99337,0.99,0.78535,0.76113,0.43405,1.23401,0.000286083,0.000286083,0.000286083
47,76.2199,0.69861,0.55327,1.14691,0.92943,0.93699,0.97744,0.79684,0.70444,0.45792,1.18411,0.000267751,0.000267751,0.000267751
48,77.7371,0.67114,0.57918,1.13362,0.91934,0.93041,0.96561,0.79185,0.73319,0.50683,1.19661,0.00024942,0.00024942,0.00024942
49,79.2593,0.66306,0.51893,1.10791,0.90725,0.90479,0.96487,0.79154,0.71051,0.49457,1.19402,0.000231088,0.000231088,0.000231088
50,80.8102,0.67752,0.56476,1.13161,0.91476,0.92834,0.97439,0.79679,0.71037,0.47062,1.22383,0.000212757,0.000212757,0.000212757
51,94.4132,0.50646,0.37759,1.02822,0.93978,0.97094,0.98218,0.78419,0.74348,0.47525,1.21021,0.000194425,0.000194425,0.000194425
52,95.9667,0.4763,0.38548,1.02904,0.89431,0.92785,0.96655,0.78804,0.73665,0.51131,1.20232,0.000176094,0.000176094,0.000176094
53,97.5405,0.45388,0.34262,1.00147,0.94536,0.92982,0.96955,0.78459,0.71042,0.46675,1.19417,0.000157762,0.000157762,0.000157762
54,99.1488,0.43499,0.31042,1.00046,0.93223,0.96032,0.9732,0.79824,0.7039,0.43207,1.17231,0.000139431,0.000139431,0.000139431
55,100.818,0.46153,0.31149,1.01178,0.92933,0.99671,0.98847,0.81577,0.69941,0.3839,1.16696,0.000121099,0.000121099,0.000121099
56,102.456,0.43124,0.30026,0.99031,0.9592,0.99394,0.9891,0.81445,0.70025,0.36341,1.17528,0.000102768,0.000102768,0.000102768
57,104.011,0.40569,0.29122,0.98723,0.95538,1,0.9896,0.8153,0.6893,0.35205,1.15964,8.4436e-05,8.4436e-05,8.4436e-05
58,105.632,0.41538,0.29247,0.99263,0.9532,0.9996,0.99016,0.81536,0.65609,0.35387,1.12229,6.61045e-05,6.61045e-05,6.61045e-05
59,107.147,0.38694,0.27409,0.97816,0.94874,0.99182,0.99079,0.81545,0.64719,0.34633,1.11461,4.7773e-05,4.7773e-05,4.7773e-05
60,108.737,0.3942,0.27253,0.96726,0.94996,0.97778,0.9889,0.81256,0.65693,0.35291,1.11916,2.94415e-05,2.94415e-05,2.94415e-05
